post_id,title,content,post_time,author_id,author_name,post_url,images,like_count,reply_count
PTT_1762393787_b4d03d50a4,[問卦] 如果中共承諾嚴懲詐騙 會加強統一意願嗎,"有的時候看詐騙新聞 看詐欺犯笑嘻嘻幾十萬交保

看受騙家庭流淚甚至抱家人自殺 就覺得台灣不公不義地方很多

看到新加坡 中國等都嚴懲詐欺犯的新聞 鞭刑死刑 突然想問

如果中共不演了 直說給我統一 我保證嚴懲電話 網路詐欺犯

會讓民眾更願意接納統一嗎

還是台灣會覺得優先保護詐欺犯的人權更重要 變的更不想統",2025/11/6 9:49,jinkela1,無敵金珂垃,https://www.ptt.cc/bbs/Gossiping/M.1762393790.A.1DE.html,[],2,9
PTT_1762401174_b3bc827528,[問卦] 詐騙幹部在大安區有11豪宅+48車位 代表?,"調查結果出來了  太子集團  詐騙幹部

在台北大安區  擁有11間豪宅+48車位  還有一堆跑車
https://i.imgur.com/HgVYRt4.jpeg
請問這代表什麼 有八卦嗎",2025/11/6 11:52,chiafann,NAZZZ,https://www.ptt.cc/bbs/Gossiping/M.1762401182.A.DC6.html,["https://i.imgur.com/HgVYRt4.jpeg"],22,48
PTT_1762401052_e27b1c7926,[問卦] 為什麼三立報導詐騙首腦好像很勵志呀？,"阿肥我剛剛在看新聞
剛好看到三立在報導詐騙首腦陳志
https://www.setn.com/m/news.aspx?newsid=1746982
怎麼覺得正面標籤多過負面標籤啊==

正面標籤：
1. 創辦人陳志神秘背景起底
2. 龐大的詐騙帝國
3. 賺人生第一桶金
4. 投資當地、陳志「華麗翻轉」變成功企業家
5. 陳志神秘背景、富可敵國
6. 附帶一個帥帥的頭像

負面標籤：例如惡毒、邪惡
好像沒有…

這正常嗎？
我看了這篇文章反而想幹詐騙了怎麼辦",2025/11/6 11:50,aucy,魯西魯,https://www.ptt.cc/bbs/Gossiping/M.1762401054.A.EE1.html,[],3,18
PTT_1762400598_286973d75e,[問卦] 從車手升級到詐騙集團主理人要多,"各位八卦版鄉民們午安

詐騙集團吃香喝辣又是豪車又是女特助

從基層出手幹起

要多久才能升級成為集團的主理人

有八卦嗎",2025/11/6 11:43,med5566,美德5566,https://www.ptt.cc/bbs/Gossiping/M.1762400600.A.158.html,[],2,6
PTT_1762399220_933bf3c214,[問卦] 月薪沒3萬不去做詐騙是不是傻了?,"同事說

台灣詐騙罪很輕

不像國外動不動 死刑 鞭刑

你沒一技之長，一輩子註定當社會底層

現在給你翻身的機會

你沒好好把握，對不起國家 對不起社會 對不起祖宗 對不起父母 對不起自己

尤其對不起冥禁党!

月薪沒3萬不去做詐騙是不是傻了?

各位覺得我同事說的有理嗎?

請大家用力反駁!",2025/11/6 11:20,inmee,J,https://www.ptt.cc/bbs/Gossiping/M.1762399223.A.560.html,[],1,11
PTT_1762398878_6e58077e3d,Re: [問卦] 我怎麼感覺整個社會都在鼓吹鼓勵詐騙？,"詐騙這部分民進黨大扣分

現在是國民黨民進黨輪流扣分

台灣沒希望就是這樣 兩大黨都在扣分

明明事情就擺在那裡需要處理

沒有人想處理？

民進黨整天包工程 又要搞淨零 搞軍備競賽

國民黨整天不幹事 在那邊修退休金走回頭路

這樣是不是阿共來治理台灣，會比較好呢？ 大家說說吧

我是這樣希望的",2025/11/6 11:14,vava5566,開心,https://www.ptt.cc/bbs/Gossiping/M.1762398880.A.B79.html,[],2,10
PTT_1762398692_279da3d4b9,Re: [問卦] 詐騙集團含車手重判很難嗎,"※ 引述《f845652652 (河馬)》之銘言：
: 想不透修法重判很難嗎？
: 酒駕可能害到政治人物不敢修大家都知道
: 但詐騙猖獗成這樣為什麼不有點作為？
: 交保金額低，還部分錢換輕判，這也太扯了吧
: 是因為法律有什麼法條限制？
: 還是我們監獄量收容量不夠？
: 有卦嗎？
其實車手抓到直接處死就好
雖然很多人會說抓不到後面的人沒用

但就是要一個殺雞儆猴的作用
真正開殺後，1個、10個、100個
看到時還有哪個社底俗辣，敢當車手小弟

就像生態系統一樣
撼動不了頂層的話，就從底層開始破壞",2025/11/6 11:11,whitefang10,醉玉月琴,https://www.ptt.cc/bbs/Gossiping/M.1762398694.A.4FA.html,[],0,8
PTT_1762398560_a0680b2529,Re: [問卦] 我怎麼感覺整個社會都在鼓吹鼓勵詐騙？,"你看大罷免就知道了啊

人神共憤 必然成功

結果33：0

砍預算國家滅亡 財劃法台灣毀滅

然後百億千億預算瘋狂提

青鳥黑熊 抗中保台

然後沒人當兵 年減從五千上看七千

發一萬違憲毀台促統掏空台灣

然後搶著要領

台電虧損我要捐錢

結果萬人響應零人到場連八卦版捐款都比他們多

最大的詐騙集團有40%那麼多

你說整個社會能不充斥詐騙嗎？

台灣人裡面

三個人就有超過一個

是言行不一致到跟詐騙一樣的人欸？",2025/11/6 11:09,astrayzip,astrayzip,https://www.ptt.cc/bbs/Gossiping/M.1762398562.A.C07.html,[],1,3
PTT_1762398328_2cdbf8ec23,Re: [問卦] 我怎麼感覺整個社會都在鼓吹鼓勵詐騙？,"※ 引述《judasprist (vaivai)》之銘言：
: 罰則輕，立法院修法之後，還是很輕。
: 法院輕判。
: 一堆車手都重複被抓，上了法庭就裝可憐。
: 媒體大肆報導詐騙買豪宅買名車名包幹美女。
: 從立法，司法，媒體報導
: 都在變相鼓勵詐騙。
: 台灣到底怎麼會變成這樣？
:",2025/11/6 11:05,ddqueen,,https://www.ptt.cc/bbs/Gossiping/M.1762398330.A.54A.html,[],1,4
PTT_1762395670_edc1c948ce,[問卦] 抓詐騙集團 台灣失業率會上升多少?,"詐騙集團 台灣起家

西進中國 南向東南亞
先到菲律賓再到緬甸寮國

龐大的供應鏈 養活各式人才

有車手pt
負責架站資訊專家 電信專家
line群殺豬盤 心理專家
騙投資 虛擬貨幣專家 房產專家
熟悉當地法務金融漏洞 金融專家 法務專家
打通政治人脈的 公關處理專家

如果把詐騙集團從根刨除

那台灣失業率會上升多少
GDP會減少幾%呢?",2025/11/6 10:21,lys5566,明燈❺❺❻❻,https://www.ptt.cc/bbs/Gossiping/M.1762395672.A.822.html,[],1,9
