comment_id,post_id,post_time,comment_type,author_id,content,content_length
PTT_1762393787_b4d03d50a4_push_0001,PTT_1762393787_b4d03d50a4,2025/11/6 9:51,推,toro736,: 得再加上徹查法律系跟詐騙集團勾結情況,20
PTT_1762393787_b4d03d50a4_push_0002,PTT_1762393787_b4d03d50a4,2025/11/6 9:52,→,gkkr,: 党算在內嗎？,8
PTT_1762393787_b4d03d50a4_push_0003,PTT_1762393787_b4d03d50a4,2025/11/6 9:53,→,xling5216,: 中共的保證要先有效再說,13
PTT_1762393787_b4d03d50a4_push_0004,PTT_1762393787_b4d03d50a4,2025/11/6 9:56,→,exiong,: 保證也沒用 看是不是包子自己人,17
PTT_1762393787_b4d03d50a4_push_0005,PTT_1762393787_b4d03d50a4,2025/11/6 9:56,→,exiong,: 不是自己人才會嚴懲 兩岸一家親,17
PTT_1762393787_b4d03d50a4_push_0006,PTT_1762393787_b4d03d50a4,2025/11/6 9:56,→,howardyeh,: 先換黨執政試試吧，屋子髒了就大掃除，,20
PTT_1762393787_b4d03d50a4_push_0007,PTT_1762393787_b4d03d50a4,2025/11/6 9:56,→,howardyeh,: 不用把房子送人吧,10
PTT_1762393787_b4d03d50a4_push_0008,PTT_1762393787_b4d03d50a4,2025/11/6 10:17,推,wolfluen,: 可是有意入住的新屋主急著把房子送人,19
PTT_1762393787_b4d03d50a4_push_0009,PTT_1762393787_b4d03d50a4,2025/11/6 10:18,→,wolfluen,: 而且換屋主就能打掃乾凈？還是會更髒？,20
PTT_1762401174_b3bc827528_push_0001,PTT_1762401174_b3bc827528,2025/11/6 11:54,推,xboxandone,: 那台偉士牌給助理到處騎 很爽,16
